,Source,Destination,Depature,Arrival,capacity
101,SFO,SEA,1226,1438,105
102,LAX,JFK,1240,2102,200
103,SFO,BOS,1250,2124,230
104,SFO,ATL,1255,2036,230
105,LAX,SFO,1258,1427,128
106,PHX,JFK,1258,1942,180
107,ATL,IAD,1259,1439,126
108,ORD,ATL,1310,1607,150
109,ATL,DEN,1316,1438,180
110,PHX,ATL,1320,1851,185
111,ATL,JFK,1340,1552,150
112,ATL,BOS,1345,1616,185
113,ATL,ORD,1345,1452,110
114,SEA,SFO,1347,1600,128
115,LAX,PHX,1350,1622,78
116,SEA,ATL,1358,2139,180
117,ATL,PHX,1359,1621,185
118,ORD,SEA,1400,1645,128
119,BOS,ATL,1400,1700,185
120,ATL,SEA,1403,1643,180
121,LAX,JFK,1415,2231,200
122,DEN,ATL,1415,1906,180
123,LAX,ATL,1420,2134,230
124,DEN,SEA,1425,1623,185
125,LAX,DEN,1430,1745,128
126,PHX,ATL,1435,2006,185
127,ATL,DEN,1500,1626,180
128,ORD,ATL,1500,1800,150
129,ATL,ORD,1505,1611,110
130,ATL,BOS,1508,1744,185
131,SFO,ATL,1509,2241,230
132,ATL,SFO,1512,1744,180
133,LAX,SEA,1515,1810,165
134,SEA,PHX,1515,1904,165
135,LAX,SFO,1518,1644,150
136,SEA,SFO,1518,1729,128
137,IAD,ATL,1518,1710,110
138,ATL,JFK,1520,1739,150
139,ATL,IAD,1525,1706,126
140,LAX,ATL,1530,2238,230
141,SEA,DEN,1534,1914,128
142,DEN,ATL,1536,2030,180
143,ATL,PHX,1540,1800,185
144,PHX,SEA,1545,1800,165
145,ATL,ORD,1610,1720,110
146,LAX,PHX,1643,1918,78
147,ATL,BOS,1643,1915,185
148,ATL,JFK,1645,1900,150
149,SFO,SEA,1652,1909,105
150,LAX,ATL,1653,2359,230
151,ORD,ATL,1655,2000,150
152,LAX,SEA,1700,1952,165
153,SEA,SFO,1700,1919,128
154,IAD,SEA,1700,2019,128
155,BOS,ATL,1700,2000,185
156,BOS,JFK,1710,1840,128
157,PHX,ATL,1721,2149,185
158,ATL,IAD,1726,1907,126
159,ATL,SEA,1736,2015,230
160,IAD,ATL,1745,1952,110
161,LAX,SFO,1750,1914,150
162,SEA,ORD,1751,2352,128
163,ATL,ORD,1754,1908,110
164,ATL,SFO,1757,2030,180
165,ATL,BOS,1800,2035,185
166,ATL,PHX,1800,2019,185
167,DEN,ATL,1802,2301,180
168,ORD,ATL,1805,2112,150
169,SFO,SEA,1809,2023,105
170,ATL,DEN,1839,2005,180
171,BOS,ATL,1844,2000,185
172,ORD,SEA,1900,2149,128
173,SEA,PHX,1908,2300,165
174,ATL,SEA,1910,2151,230
175,LAX,SEA,1919,2210,165
176,ATL,ORD,1924,2034,110
177,SEA,DEN,1925,2303,128
178,ATL,JFK,1928,2145,150
179,LAX,SFO,1942,2114,180
180,IAD,ATL,1946,2145,110
181,PHX,SEA,1949,2207,165
182,DEN,SEA,1952,2200,196
183,ORD,ATL,1953,2155,110
184,LAX,DEN,2000,2315,128
185,ATL,BOS,2000,2230,185
186,ATL,PHX,2000,2220,185
187,ATL,SFO,2000,2230,180
188,BOS,JFK,2000,2130,105
189,BOS,ATL,2000,2300,185
190,SFO,SEA,2004,2222,105
191,ATL,IAD,2015,2200,126
192,LAX,PHX,2040,2310,78
193,ATL,ORD,2043,2150,110
194,LAX,SEA,2055,2347,165
195,SEA,SFO,2109,2323,128
196,ATL,BOS,2110,2339,185
197,ATL,DEN,2114,2239,180
198,LAX,SFO,2116,2245,180
199,ATL,SFO,2122,2359,180
200,ATL,PHX,2142,2359,185
201,ATL,JFK,2143,2356,150
202,ATL,ORD,2242,2337,110
203,LAX,ORD,55,649,230
204,PHX,ORD,517,939,128
205,IAD,DEN,525,721,180
206,SEA,SFO,535,639,180
207,PHX,SFO,535,639,180
208,BOS,DEN,545,833,180
209,BOS,IAD,555,735,180
210,ORD,BOS,600,912,150
211,ORD,DEN,600,745,230
212,ORD,ATL,600,905,128
213,ORD,SFO,600,843,180
214,IAD,ORD,600,705,180
215,IAD,SFO,600,914,180
216,BOS,SFO,600,950,230
217,ORD,IAD,615,900,150
218,SFO,DEN,625,1006,230
219,SFO,SEA,625,843,128
220,LAX,DEN,630,953,180
221,LAX,SFO,630,806,180
222,SFO,DEN,640,1021,180
223,ORD,DEN,645,828,230
224,SFO,ORD,650,1308,150
225,LAX,ORD,700,1300,230
226,ATL,DEN,700,833,180
227,ATL,SFO,700,930,180
228,BOS,ORD,700,900,180
229,ATL,SFO,712,950,128
230,SEA,DEN,728,1110,150
231,SFO,IAD,730,1516,150
232,PHX,ORD,735,1157,180
233,ATL,ORD,745,900,180
234,ORD,BOS,745,1100,128
235,DEN,SFO,750,941,230
236,DEN,SEA,751,1002,180
237,DEN,BOS,800,1340,180
238,DEN,ORD,800,1131,230
239,ORD,DEN,800,1000,230
240,ORD,PHX,800,1100,150
241,PHX,DEN,805,950,180
242,DEN,ATL,806,1300,128
243,SEA,IAD,815,1608,180
244,SFO,BOS,815,1600,230
245,IAD,ORD,815,951,180
246,IAD,DEN,815,1015,280
247,IAD,SFO,815,1131,230
248,BOS,SFO,815,1208,230
249,LAX,IAD,822,1614,180
250,IAD,ATL,825,1028,128
251,LAX,ORD,830,1437,180
252,SFO,ORD,830,1444,230
253,ORD,SFO,830,1108,300
254,IAD,BOS,830,1009,150
255,IAD,SEA,830,1135,180
256,LAX,BOS,840,1705,180
257,SEA,SFO,849,954,180
258,PHX,SFO,849,954,180
259,LAX,SFO,854,1036,180
260,LAX,DEN,900,1228,180
261,ORD,IAD,900,1150,128
262,SFO,DEN,913,1250,230
263,ORD,BOS,923,1235,230
264,ORD,SEA,925,1212,180
265,LAX,SFO,930,1115,180
266,SFO,IAD,930,1736,230
267,DEN,SEA,930,1140,180
268,DEN,SFO,934,1125,180
269,BOS,DEN,934,1222,180
270,DEN,IAD,935,1449,180
271,DEN,PHX,940,1147,180
272,DEN,ORD,944,1314,180
273,PHX,IAD,945,1544,180
274,BOS,IAD,945,1125,180
275,ORD,PHX,1000,1300,180
276,ORD,SFO,1000,1246,230
277,BOS,ORD,1000,1200,150
278,PHX,ORD,1017,1445,180
279,ORD,SEA,1017,1300,180
280,ORD,DEN,1023,1219,230
281,IAD,ORD,1030,1141,150
282,BOS,SFO,1030,1424,230
283,LAX,ORD,1040,1650,230
284,SFO,ORD,1040,1700,230
285,SFO,ATL,1042,1825,128
286,SFO,PHX,1044,1349,180
287,LAX,SFO,1045,1230,180
288,ATL,ORD,1048,1205,180
289,DEN,ATL,1053,1600,150
290,SEA,ORD,1055,1700,180
291,SFO,DEN,1100,1445,180
292,LAX,SFO,1103,1248,180
293,SFO,BOS,1105,2000,230
294,DEN,IAD,1105,1619,180
